#No.	Label Name:		R	G	B	A
175	L-A4	14	104	119	255
176	L-STSva	14	180	200	255
177	L-TE1m	242	209	144	255
178	L-PI	144	13	79	255
179	L-a32pr	178	138	95	255
180	L-p24	35	180	72	255
1001	R-V1	212	35	201	255
1002	R-MST	148	142	138	255
1003	R-V6	188	21	224	255
1004	R-V2	123	10	71	255
1005	R-V3	144	131	161	255
1006	R-V4	187	211	26	255
1007	R-V8	65	235	87	255
1008	R-4	236	246	204	255
1009	R-3b	190	219	113	255
1010	R-FEF	141	80	145	255
1011	R-PEF	248	152	239	255
1012	R-55b	5	35	17	255
1013	R-V3A	84	200	183	255
1014	R-RSC	187	76	240	255
1015	R-POS2	106	157	12	255
1016	R-V7	148	27	31	255
1017	R-IPS1	100	252	175	255
1018	R-FFC	125	167	32	255
1019	R-V3B	211	10	239	255
1020	R-LO1	243	164	159	255
1021	R-LO2	72	234	15	255
1022	R-PIT	170	234	222	255
1023	R-MT	151	70	126	255
1024	R-A1	158	141	114	255
1025	R-PSL	110	193	69	255
1026	R-SFL	196	166	189	255
1027	R-PCV	171	158	224	255
1028	R-STV	225	28	212	255
1029	R-7Pm	92	53	175	255
1030	R-7m	241	113	54	255
1031	R-POS1	104	28	57	255
1032	R-23d	160	114	180	255
1033	R-v23ab	100	149	139	255
1034	R-d23ab	169	80	38	255
1035	R-31pv	255	102	159	255
1036	R-5m	135	95	116	255
1037	R-5mv	212	78	150	255
1038	R-23c	35	59	131	255
1039	R-5L	86	62	170	255
1040	R-24dd	239	96	11	255
1041	R-24dv	21	60	198	255
1042	R-7AL	37	163	6	255
1043	R-SCEF	38	8	196	255
1044	R-6ma	128	150	107	255
1045	R-7Am	57	164	189	255
1046	R-7PL	45	148	176	255
1047	R-7PC	29	222	81	255
1048	R-LIPv	167	134	22	255
1049	R-VIP	202	251	28	255
1051	R-1	220	119	160	255
1052	R-2	207	104	41	255
1053	R-3a	217	101	241	255
1054	R-6d	102	147	89	255
1055	R-6mp	94	156	234	255
1056	R-6v	219	117	106	255
1057	R-p24pr	148	26	248	255
1058	R-33pr	255	171	131	255
1059	R-a24pr	63	230	147	255
1060	R-p32pr	17	124	0	255
1061	R-a24	238	158	216	255
1062	R-d32	124	245	130	255
1063	R-8BM	238	192	22	255
1064	R-p32	243	146	10	255
1065	R-10r	20	18	34	255
1066	R-47m	87	213	49	255
1067	R-8Av	230	133	95	255
1068	R-8Ad	216	96	254	255
1069	R-9m	54	241	141	255
1070	R-8BL	245	110	40	255
1071	R-9p	245	49	114	255
1072	R-10d	222	8	251	255
1073	R-8C	127	16	121	255
1074	R-44	172	210	78	255
1075	R-45	30	86	227	255
1076	R-47l	70	234	34	255
1077	R-a47r	149	155	236	255
1078	R-6r	188	203	119	255
1079	R-IFJa	220	127	6	255
1080	R-IFJp	206	117	51	255
1081	R-IFSp	202	134	141	255
1082	R-IFSa	68	150	167	255
1083	R-p9-46v	250	3	253	255
1084	R-46	158	59	248	255
1085	R-a9-46v	12	188	125	255
1086	R-9-46d	62	66	215	255
1087	R-9a	227	154	62	255
1088	R-10v	93	28	172	255
1089	R-a10p	72	139	140	255
1090	R-10pp	185	68	3	255
1091	R-11l	124	55	31	255
1092	R-13l	133	249	126	255
1093	R-OFC	73	208	168	255
1094	R-47s	110	106	6	255
1095	R-LIPd	157	44	122	255
1096	R-6a	236	146	39	255
1097	R-i6-8	118	70	194	255
1098	R-s6-8	217	132	134	255
1099	R-43	75	170	41	255
1100	R-OP4	138	25	208	255
1101	R-OP1	192	27	218	255
1102	R-OP2-3	94	15	240	255
1103	R-52	138	34	180	255
1104	R-RI	67	55	148	255
1105	R-PFcm	22	212	253	255
1106	R-PoI2	229	22	105	255
1107	R-TA2	115	250	35	255
1108	R-FOP4	225	76	188	255
1109	R-MI	225	220	214	255
1110	R-Pir	158	100	203	255
1111	R-AVI	198	222	211	255
1112	R-AAIC	32	42	138	255
1113	R-FOP1	182	95	65	255
1114	R-FOP3	208	246	34	255
1115	R-FOP2	50	78	237	255
1116	R-PFt	60	248	191	255
1117	R-AIP	228	73	161	255
1118	R-EC	181	124	202	255
1119	R-PreS	114	156	157	255
1120	R-H	82	96	182	255
1121	R-ProS	85	98	21	255
1122	R-PeEc	113	111	222	255
1123	R-STGa	76	61	248	255
1124	R-PBelt	143	8	225	255
1125	R-A5	75	78	98	255
1126	R-PHA1	234	207	57	255
1127	R-PHA3	200	31	132	255
1128	R-STSda	45	249	189	255
1129	R-STSdp	78	103	31	255
1130	R-STSvp	100	193	74	255
1131	R-TGd	213	4	9	255
1132	R-TE1a	87	59	28	255
1133	R-TE1p	220	219	55	255
1134	R-TE2a	132	63	140	255
1135	R-TF	194	75	6	255
1136	R-TE2p	189	219	105	255
1137	R-PHT	164	144	98	255
1138	R-PH	189	38	0	255
1139	R-TPOJ1	103	156	153	255
1140	R-TPOJ2	34	74	170	255
1141	R-TPOJ3	145	206	163	255
1142	R-DVT	234	44	92	255
1143	R-PGp	61	246	182	255
1144	R-IP2	147	186	76	255
1145	R-IP1	2	93	125	255
1146	R-IP0	63	153	65	255
1147	R-PFop	241	48	60	255
1148	R-PF	169	41	226	255
1149	R-PFm	192	132	167	255
1150	R-PGi	164	239	113	255
1151	R-PGs	21	149	220	255
1152	R-V6A	240	122	5	255
1153	R-VMV1	153	228	132	255
1154	R-VMV3	27	99	162	255
1155	R-PHA2	1	61	162	255
1156	R-V4t	177	156	9	255
1157	R-FST	148	237	123	255
1158	R-V3CD	41	209	10	255
1159	R-LO3	177	5	38	255
1160	R-VMV2	229	115	229	255
1161	R-31pd	79	130	24	255
1162	R-31a	72	49	107	255
1163	R-VVC	106	57	183	255
1164	R-25	16	214	197	255
1165	R-s32	69	26	87	255
1166	R-pOFC	245	230	239	255
1167	R-PoI1	13	29	195	255
1168	R-Ig	250	119	224	255
1169	R-FOP5	57	184	37	255
1170	R-p10p	93	87	97	255
1171	R-p47r	194	90	58	255
1172	R-TGv	97	36	68	255
1173	R-MBelt	134	93	225	255
1174	R-LBelt	141	222	148	255
1175	R-A4	206	185	35	255
1176	R-STSva	178	224	167	255
1177	R-TE1m	11	188	246	255
1178	R-PI	184	71	123	255
1179	R-a32pr	253	151	167	255
1180	R-p24	60	56	0	255
